commonName,sciName,cleanedName,itis_id,rank,isConifer
fir,Abies,fir,,genus,1
fir,Abies,fir spp.,,genus,1
Pacific silver fir,Abies amabilis,,,species,1
balsam fir,Abies balsamea,,,species,1
bristlecone fir,Abies bracteata,,,species,1
white fir,Abies concolor,,,species,1
Fraser fir,Abies fraseri,,,species,1
grand fir,Abies grandis,,,species,1
subalpine fir,Abies lasiocarpa,corkbark fir,,species,1
subalpine fir,Abies lasiocarpa,subalpine fir,,species,1
California red fir,Abies magnifica,,,species,1
noble fir,Abies procera,,,species,1
Shasta red fir,Abies shastensis,,,species,1
acacia,Acacia,Acacia spp.,,genus,0
acacia,Acacia,acacia,,genus,0
sweet acacia,Acacia farnesiana,,,species,0
catclaw acacia,Acacia greggii,,,species,0
Maple,Acer,Maple,28727,genus,0
Maple,Acer,Maple spp.,28727,genus,0
Trident maple,Acer buergerianum,Trident maple,837859,species,0
Hedge maple,Acer campestre,Hedge maple,28739,species,0
Horned maple,Acer diabolicum,Horned maple,837851,species,0
Florida maple,Acer floridanum,Florida maple,183691,species,0
Florida maple,Acer floridanum,Acer barbatum,,species,0
Amur maple,Acer ginnala,Amur maple,28741,species,0
Rocky Mountain maple,Acer glabrum,,,species,0
bigtooth maple,Acer grandidentatum,,,species,0
Chalk maple,Acer leucoderme,Chalk maple,28761,species,0
Bigleaf maple,Acer macrophyllum,Bigleaf maple,28748,species,0
Boxelder,Acer negundo,Acer negundo,28749,species,0
Boxelder,Acer negundo,Boxelder,28749,species,0
Black maple,Acer nigrum,Black maple,182135,species,0
Japanese maple,Acer palmatum,Japanese maple,182136,species,0
Striped maple,Acer pensylvanicum,Striped maple,28754,species,0
Norway maple,Acer platanoides,Norway maple,28755,species,0
Red maple,Acer rubrum,Red maple,28728,species,0
Silver maple,Acer saccharinum,Silver maple,28757,species,0
Sugar maple,Acer saccharum,Sugar maple,28731,species,0
Sugar maple,Acer saccharum,Southern sugar maple,28731,species,0
mountain maple,Acer spicatum,,,species,0
Freeman maple,Acer X freemanii,Acer x freemanii,500949,species,0
Everglades palm,Acoelorraphe wrightii,Everglades palm,42434,species,0
Buckeye,Aesculus,Buckeye,28714,genus,0
Buckeye,Aesculus,Buckeye spp.,28714,genus,0
California buckeye,Aesculus californica,,,species,0
yellow buckeye,Aesculus flava,,,species,0
Ohio buckeye,Aesculus glabra,Ohio buckeye,28718,species,0
horse chestnut,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,0
Bottlebrush buckeye,Aesculus parviflora,Aesculus parviflora,28722,species,0
Bottlebrush buckeye,Aesculus parviflora,Bottlebrush buckeye,28722,species,0
Red buckeye,Aesculus pavia,Red buckeye,28723,species,0
painted buckeye,Aesculus sylvatica,,,species,0
Yellow buckeye,Aesculus flava,Yellow buckeye,837871,species,0
Ailanthus,Ailanthus,Ailanthus,28826,genus,0
Ailanthus,Ailanthus,Ailanthus spp.,28826,genus,0
Tree of heaven,Ailanthus altissima,tree of heaven,,species,0
mimosa,Albizia julibrissin,,,species,0
Alder,Alnus,Alder,19466,genus,0
Alder,Alnus,Alder spp.,19466,genus,0
European alder,Alnus glutinosa,,,species,0
Arizona alder,Alnus oblongifolia,,,species,0
white alder,Alnus rhombifolia,,,species,0
red alder,Alnus rubra,,,species,0
Hazel alder,Alnus serrulata,Hazel alder,19468,species,0
Grey alder,Alnus incana,Speckled alder,19471,species,0
Serviceberry,Amelanchier,Serviceberry,25108,species,0
Common serviceberry,Amelanchier arborea,Common serviceberry,25110,species,0
Allegheny serviceberry,Amelanchier laevis,Amelanchier laevis,182046,species,0
roundleaf serviceberry,Amelanchier sanguinea,,,species,0
sea torchwood,Amyris elemifera,NA,28875,species,0
pond-apple  ,Annona glabra,NA,18101,species,0
madrone,Arbutus,madrone,,genus,0
madrone,Arbutus,madrone spp.,,genus,0
Arizona madrone,Arbutus arizonica,,,species,0
Pacific madrone,Arbutus menziesii,Pacific madrone,23627,species,0
Texas madrone,Arbutus xalapensis,,,species,0
Dwarf pawpaw,Asimina pygmea,Dwarf pawpaw,18114,species,0
Pawpaw,Asimina triloba,Pawpaw,18117,species,0
black-mangrove,Avicennia germinans,,,species,0
eastern baccharis,Baccharis halimifolia,Baccharis halimifolia,35682,species,0
Birch,Betula,Birch,19478,genus,0
Birch,Betula,Birch spp.,19478,genus,0
Yellow birch,Betula alleghaniensis,Yellow birch,19481,species,0
Sweet birch,Betula lenta,Sweet birch,19487,species,0
Sweet birch,Betula lenta,Black birch,19487,species,0
White birch,Betula minor,White birch,183534,species,0
River birch,Betula nigra,River birch,19480,species,0
water birch,Betula occidentalis,,,species,0
Paper birch,Betula papyrifera,Paper birch,19489,species,0
Gray birch,Betula populifolia,Gray birch,19497,species,0
Virginia roundleaf birch,Betula uber,,,species,0
northwestern paper birch,Betula x utahensis,,,species,0
Paper birch,Betula papyrifera,Heartleaf birch,19489,species,0
gumbo limbo  ,Bursera simaruba,NA,28766,species,0
boxwood,Buxus,Buxus,28022,genus,0
boxwood,Buxus,Buxus spp.,28022,genus,0
American beautyberry,Callicarpa americana,Callicarpa americana,32144,species,0
incense-cedar,Calocedrus decurrens,,,species,0
sweetshrub,Calycanthus,sweetshrub spp.,18139,genus,0
sweetshrub,Calycanthus,Calycanthus spp.,18139,genus,0
Eastern sweetshrub,Calycanthus floridus,Eastern sweetshrub,18142,species,0
Camellia,Camellia,Camellia,500689,genus,0
Camellia,Camellia,Camellia spp.,500689,genus,0
Hornbeam,Carpinus,Hornbeam,19503,genus,0
Hornbeam,Carpinus,Carpinus spp.,19503,genus,0
American hornbeam,Carpinus caroliniana,American hornbeam,19504,species,0
American hornbeam,Carpinus caroliniana,Blue beech,19504,species,0
Hickory,Carya,Hickory,19223,genus,0
Hickory,Carya,Hickory spp.,19223,genus,0
Hickory,Carya,Carya spp.,19223,genus,0
mockernut hickory,Carya alba,,,species,0
water hickory,Carya aquatica,,,species,0
southern shagbark hickory,Carya carolinae-septentrionalis,,,species,0
Bitternut hickory,Carya cordiformis,Bitternut hickory,19227,species,0
scrub hickory,Carya floridana,,,species,0
Pignut hickory,Carya glabra,Pignut hickory,19231,species,0
Pecan,Carya illinoinensis,Pecan,19234,species,0
Shellbark hickory,Carya laciniosa,Shellbark hickory,19235,species,0
Nutmeg hickory,Carya myristiciformis,Nutmeg hickory,19239,species,0
red hickory,Carya ovalis,,,species,0
Shagbark hickory,Carya ovata,Shagbark hickory,19242,species,0
sand hickory,Carya pallida,,,species,0
black hickory,Carya texana,,,species,0
Mockernut hickory,Carya tomentosa,Mockernut hickory,19247,species,0
chestnut,Castanea,Castanea,,genus,0
chestnut,Castanea,Castanea spp.,,genus,0
American chestnut,Castanea dentata,American chestnut,19454,species,0
Chinese chestnut,Castanea mollissima,Chinese chestnut,501318,species,0
chinquapin,Castanea pumila,Allegheny chinkapin,,species,0
chinquapin,Castanea pumila,Ozark chinkapin,,species,0
chinquapin,Castanea pumila,chinquapin,,species,0
chinquapin,Castanea pumila,Ozark chinquapin,,species,0
sheoak,Casuarina,Casuarina spp.,NA,genus,0
sheoak,Casuarina,sheoak spp.,,genus,0
gray sheoak,Casuarina glauca,NA,19517,species,0
belah,Casuarina lepidophloia,NA,501335,species,0
Catalpa,Catalpa,Catalpa,34312,genus,0
Catalpa,Catalpa,Catalpa spp.,34312,genus,0
Southern catalpa,Catalpa bignonioides,Southern catalpa,34313,species,0
Northern catalpa,Catalpa speciosa,Northern catalpa,34315,species,0
Oriental bittersweet,Celastrus orbiculatus,Oriental bittersweet,506068,species,0
Hackberry,Celtis,Hackberry,19039,genus,0
Hackberry,Celtis,Hackberry spp.,19039,genus,0
Hackberry,Celtis,Celtis spp.,19039,genus,0
Sugarberry,Celtis laevigata,Sugarberry,19042,species,0
Sugarberry,Celtis laevigata,netleaf hackberry,,species,0
western hackberry,Celtis occidentalis,,,species,0
Common buttonbush,Cephalanthus occidentalis,Common buttonbush,34786,species,0
Eastern redbud,Cercis canadensis,Eastern redbud,25782,species,0
curlleaf mountain-mahogany,Cercocarpus ledifolius,,,species,0
Chinese quince,Chaenomeles sinensis,Chinese quince, 565928,species,0
white-cedar spp.,Chamaecyparis,Chamaecyparis spp.,,genus,1
Port-Orford-cedar,Chamaecyparis lawsoniana,,,species,1
Alaska yellow-cedar,Chamaecyparis nootkatensis,,,species,1
Atlantic white-cedar,Chamaecyparis thyoides,Atlantic white-cedar,18046,species,1
Atlantic white-cedar,Chamaecyparis thyoides,White-cedar,18046,species,1
Fragrant wintersweet,Chimonanthus praecox,Fragrant wintersweet,NA,species,0
Fringetree,Chionanthus,Fringetree,32948,genus,0
Fringetree,Chionanthus,Chionanthus spp.,32948,genus,0
giant chinkapin,Chrysolepis chrysophylla,,,species,0
camphortree,Cinnamomum camphora,NA,18175,species,0
Florida fiddlewood,Citharexylum fruticosum,NA,32150,species,0
citrus,Citrus,Citrus spp.,28882,genus,0
citrus,Citrus,Citrus,28882,genus,0
Kentucky yellowwood,Cladrastis kentukea,American yellowwood,26539,species,0
Kentucky yellowwood,Cladrastis kentukea,Kentucky yellowwood,26539,species,0
Kentucky yellowwood,Cladrastis kentukea,yellowwood,,species,0
Cleyera,Cleyera,Clerya,80960,genus,0
tietongue,Coccoloba diversifolia,NA,21038,species,0
Florida silver palm,Coccothrinax argentata,NA,42448,species,0
coconut palm  ,Cocos nucifera,NA,42451,species,0
soldierwood,Colubrina elliptica,NA,28524,species,0
Bluewood,Condalia hookeri,NA,28533,species,0
buttonwood-mangrove,Conocarpus erectus,,,species,0
Anacahuita,Cordia boissieri,,,species,0
largeleaf geigertree,Cordia sebestena,NA,31748,species,0
Dogwood,Cornus,Dogwood,27798,genus,0
Alternate-leaf dogwood,Cornus alternifolia,Alternate-leaf dogwood,27813,species,0
Silky dogwood,Cornus amomum,Silky dogwood,27799,species,0
Roughleaf dogwood,Cornus drummondii,Roughleaf dogwood,27807,species,0
Flowering dogwood,Cornus florida,Flowering dogwood,27806,species,0
Stiff dogwood,Cornus foemina,Stiff dogwood,27802,species,0
Kousa dogwood,Cornus kousa,Kousa dogwood,507498,species,0
Big-leaf dogwood,Cornus macrophylla,Big-leaf dogwood,NA,species,0
Cornelian cherry,Cornus mas,Cornus mas,565094,species,0
Cornelian cherry,Cornus mas,Cornelian-cherry dogwood,565094,species,0
Pacific dogwood,Cornus nuttallii,,,species,0
Redosier dogwood,Cornus sericea,Redosier dogwood,501637,species,0
Redosier dogwood,Cornus sericea,Red-osier dogwood,501637,species,0
Redosier dogwood,Cornus sericea,Cornus stolonifera,501637,species,0
Grey dogwood,Cornus racemosa,Grey dogwood,501635,species,0
Hazelnut,Corylus,Hazelnut,19505,genus,0
American hazelnut,Corylus americana,American hazelnut,19506,species,0
Beaked hazel,Corylus cornuta,Beaked hazel,19507,species,0
smoketree,Cotinus obovatus,,,species,0
Hawthorn,Crataegus,Hawthorn,24539,genus,0
Brainerd's hawthorn,Crataegus brainerdii,NA,24546,species,0
pear hawthorn,Crataegus calpodendron,NA,24547,species,0
fireberry hawthorn,Crataegus chrysocarpa,NA,24548,species,0
cockspur hawthorn,Crataegus crus-galli,,,species,0
broadleaf hawthorn,Crataegus dilatata,NA,24555,species,0
fanleaf hawthorn,Crataegus flabellata,Fanleaf hawthorn,24561,species,0
downy hawthorn,Crataegus mollis,,,species,0
oneseed hawthorn,Crataegus monogyna,NA,24586,species,0
scarlet hawthorn,Crataegus pedicellata,NA,501747,species,0
Washington hawthorn,Crataegus phaenopyrum,Washington hawthorn,24593,species,0
fleshy hawthorn,Crataegus succulenta,,,species,0
dwarf hawthorn,Crataegus uniflora,,,species,0
Broadleaf hawthorn,Crataegus coccinioides,Broadleaf hawthorn,24550,species,0
carrotwood,Cupaniopsis anacardioides,NA,565105,species,0
Arizona cypress,Cupressus arizonica,,,species,1
Modoc cypress,Cupressus bakeri,,,species,1
Tecate cypress,Cupressus forbesii,,,species,1
MacNabs cypress,Cupressus macnabiana,,,species,1
Monterey cypress,Cupressus macrocarpa,,,species,1
Sargents cypress,Cupressus sargentii,NA,183460,species,1
cypress,Cupressus spp.,,,genus,1
swamp titi,Cyrilla racemiflora,Cyrilla racemiflora,23449,species,0
Bush honeysuckle,Diervilla,Bush honeysuckle,35309,genus,0
Persimmon,Diospyros,Persimmon,23853,genus,0
Texas persimmon,Diospyros texana,NA,23854,species,0
common persimmon,Diospyros virginiana,Common persimmon,23855,species,0
Blackbead ebony,Ebenopsis ebano,NA,565147,species,0
Oriental paperbush,Edgeworthia chrysantha,Edgeworthia chrysantha,512730,species,0
Anacua knockaway,Ehretia anacua,NA,31901,species,0
Russian olive,Elaeagnus angustifolia,Russian-olive,27770,species,0
Russian olive,Elaeagnus angustifolia,Russian olive,27770,species,0
Autumn olive,Elaeagnus umbellata,Autumn olive,27776,species,0
river redgum,Eucalyptus camaldulensis,NA,502465,species,0
Tasmanian bluegum,Eucalyptus globulus,NA,27189,species,0
grand eucalyptus,Eucalyptus grandis,NA,506180,species,0
swampmahogany,Eucalyptus robusta,NA,502484,species,0
eucalyptus spp.,Eucalyptus spp.,NA,NA,genus,0
red stopper,Eugenia rhombea,NA,27217,species,0
burningbush,Euonymus alatus,Euonymus alatus,27946,species,0
European spindletree,Euonymus europaeus,European spindletree,27949,species,0
Yeddo euonymous,Euonymus hamiltonianus,Yeddo euonymous,894989,species,0
butterbough,Exothea paniculata,NA,28680,species,0
Beech,Fagus,Beech,19461,genus,0
American beech,Fagus grandifolia,American beech,19462,species,0
European beech,Fagus sylvatica,European beech,502590,species,0
European beech,Fagus sylvatica,Fagus sylvatica,502590,species,0
Japanese knotweed,Fallopia japonica,Japanese knotweed,565897,species,0
Speckled japanese aralla,Fatsia japonica,Speckled japanese aralla,505935,species,0
Fig,Ficus,Ficus,19081,genus,0
Fig,Ficus,Fig,19081,genus,0
Florida strangler fig,Ficus aurea,NA,19092,species,0
wild banyantree,Ficus citrifolia,NA,19094,species,0
Florida swampprivet,Forestiera segregata,Florida forestiera,32959,species,0
Forsythia,Forsythia,Forsythia,32961,genus,0
Ash,Fraxinus,Ash,NA,genus,0
white ash,Fraxinus americana,White ash,32931,species,0
Berlandier ash,Fraxinus berlandieriana,,,species,0
Carolina ash,Fraxinus caroliniana,Carolina ash,32941,species,0
Oregon ash,Fraxinus latifolia,NA,32944,species,0
black ash,Fraxinus nigra,Black ash,32945,species,0
green ash,Fraxinus pennsylvanica,Green ash,32929,species,0
pumpkin ash,Fraxinus profunda,NA,32934,species,0
blue ash,Fraxinus quadrangulata,NA,32947,species,0
Texas ash,Fraxinus texensis,NA,32935,species,0
velvet ash,Fraxinus velutina,NA,32936,species,0
Gardenia,Gardenia,Gardenia,35159,genus,0
Huckleberry,Gaylussacia,Huckleberry,23659,genus,0
black huckleberry,Gaylussacia baccata,Gaylussacia baccata,23660,species,0
Ginkgo,Ginkgo biloba,Ginkgo biloba,183269,species,0
Ginkgo,Ginkgo biloba,Ginkgo,183269,species,0
locust,Gleditsia,,26711,genus,0
waterlocust,Gleditsia aquatica,NA,26712,species,0
honeylocust,Gleditsia triacanthos,Honeylocust,26714,species,0
loblolly-bay,Gordonia lasianthus,NA,21386,species,0
beeftree,Guapira discolor,NA,19595,species,0
Kentucky coffeetree,Gymnocladus dioicus,NA,502851,species,0
Carolina silverbell,Halesia carolina,Carolina silverbell,23864,species,0
Carolina silverbell,Halesia carolina,Halesia tetraptera,23864,species,0
two-wing silverbell,Halesia diptera,NA,23865,species,0
little silverbell,Halesia parviflora,NA,23866,species,0
silverbell spp.,Halesia spp.,NA,NA,genus,0
witch-hazel,Hamamelis virginiana,witch-hazel,19033,species,0
witch-hazel,Hamamelis virginiana,Hamamelis virginiana,19033,species,0
witch-hazel,Hamamelis virginiana,witch hazel,19033,species,0
Ozark witch hazel,Hamamelis vernalis,Ozark witch hazel,19032,species,0
Rose of sharon,Hibiscus syriacus,Rose of sharon,21638,species,0
manchineel,Hippomane mancinella,NA,28325,species,0
Raisin,Hovenia dulcis,Raisin,28554,species,0
Hydrangea,Hydrangea,Hydrangea,24194,genus,0
Oakleaf hydrangea,Hydrangea quercifolia,Hydrangea quercifolia,24200,species,0
Oakleaf hydrangea,Hydrangea quercifolia,Oakleaf hydrangea,24200,species,0
Possumhaw,Ilex decidua,Possumhaw,27998,species,0
Inkberry,Ilex glabra,Ilex glabra,27981,species,0
Mountain holly,Ilex montana,Mountain holly,28002,species,0
Mountain holly,Ilex montana,Mountain winterberry,28002,species,0
Catberry,Ilex mucronata,Catberry,835359,species,0
American holly,Ilex opaca,American holly,27982,species,0
Winterberry,Ilex verticillata,Ilex verticillata,27985,species,0
Winterberry,Ilex verticillata,Winterberry,27985,species,0
yaupon,Ilex vomitoria,Ilex vomitoria,27986,species,0
yaupon,Ilex vomitoria,yaupon,27986,species,0
yaupon,Ilex vomitoria,yaupon holly,27986,species,0
Virginia sweetspire,Itea virginica,Itea virginica,24202,species,0
Virginia sweetspire,Itea virginica,Virginia sweetspire,24202,species,0
Walnut,Juglans,Walnut,19248,genus,0
southern California black walnut,Juglans californica,NA,19249,species,0
butternut,Juglans cinerea,NA,19250,species,0
northern California black walnut,Juglans hindsii,NA,19251,species,0
Arizona walnut,Juglans major,NA,19252,species,0
Texas walnut,Juglans microcarpa,NA,19253,species,0
black walnut,Juglans nigra,Black walnut,19254,species,0
Ashe juniper,Juniperus ashei,,,species,1
California juniper,Juniperus californica,,,species,1
redberry juniper,Juniperus coahuilensis,,,species,1
alligator juniper,Juniperus deppeana,,,species,1
Drooping juniper,Juniperus flaccida,,,species,1
oneseed juniper,Juniperus monosperma,,,species,1
western juniper,Juniperus occidentalis,,,species,1
Utah juniper,Juniperus osteosperma,,,species,1
Pinchot juniper,Juniperus pinchotii,,,species,1
Rocky Mountain juniper,Juniperus scopulorum,,,species,1
redcedar/juniper spp.,Juniperus spp.,,,genus,1
eastern redcedar,Juniperus virginiana,,,species,1
Mountain laurel,Kalmia latifolia,Kalmia latifolia,23677,species,0
Mountain laurel,Kalmia latifolia,Mountain laurel,23677,species,0
castor aralia,Kalopanax septemlobus,Kalopanax septemlobus,565257,species,0
flamegold,Koelreuteria elegans,,503285,species,0
Golden rain tree,Koelreuteria paniculata,Golden rain tree,503286,species,0
Golden rain tree,Koelreuteria paniculata,Koelreuteria paniculata,503286,species,0
crapemyrtle,Lagerstroemia indica,Crepe myrtle, 27110,species,0
white-mangrove,Laguncularia racemosa,,,species,0
Tamarack,Larix laricina,Tamarack,183412,species,1
subalpine larch,Larix lyallii,,,species,1
western larch,Larix occidentalis,,,species,1
larch spp.,Larix spp.,,,genus,1
Great leucaene,Leucaena pulverulenta,NA,26767,species,0
coastal doghobble,Leucothoe axillaris,Leucothoe axillaris,23550,species,0
Privet,Ligustrum,Privet,32973,genus,0
Japanese privet,Ligustrum japonicum,Japanese privet,503449,species,0
waxyleaf privet,Ligustrum quihoui,Olive quihoui,32978,species,0
waxyleaf privet,Ligustrum quihoui,Quihoui,32978,species,0
Spicebush,Lindera,Spicebush,18146,genus,0
Northern spicebush,Lindera benzoin,Common spicebush,18147,species,0
Northern spicebush,Lindera benzoin,Northern spicebush,18147,species,0
sweetgum,Liquidambar styraciflua,Sweetgum,19027,species,0
sweetgum,Liquidambar styraciflua,Sweet gum,19027,species,0
Tuliptree,Liriodendron tulipifera,Tulip poplar,18086,species,0
Tuliptree,Liriodendron tulipifera,Tuliptree,18086,species,0
Tuliptree,Liriodendron tulipifera,Yellow-poplar,18086,species,0
tanoak,Lithocarpus densiflorus,Tanoak,19464,species,0
Honeysuckle,Lonicera,Honeysuckle,35281,genus,0
pink honeysuckle,Lonicera hispidula,Lonicera hispidula var. vacillans,35295,species,0
Japanese honeysuckle,Lonicera japonica,Lonicera japonica,35283,species,0
Amur honeysuckle,Lonicera maackii,Amur honeysuckle,35298,species,0
Tatarian honeysuckle,Lonicera tatarica,Tatarian honeysuckle,35306,species,0
false tamarind,Lysiloma latisiliquum,NA,503631,species,0
Amur maackia,Maackia amurensis,Maackia amurensis,506254,species,0
Osage-orange,Maclura pomifera,Osage orange,19102,species,0
