"sciName","totalCount","numSurveysGTzero","totalBiomass","nSurveys","nBranches","nSites","nRegions","meanDensity","meanBiomass","fracSurveys","LL95frac","UL95frac","rank","Family","nativeStatus","plantOrigin","color","famcolor","rgb.86.255..180.255..233.255.","rgb.0..158.255..115.255.","rgb.240.255..228.255..66.255.","rgb.213.255..94.255..0.","X.salmon."
"Hamamelis virginiana",275,143,4248.19207817512,738,100,39,9,0.372628726287263,5.75635782950558,19.3766937669377,16.5250318866283,22.2283556472471,"species","Hamamelidaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Populus grandidentata",27,9,402.417419098104,48,24,6,4,0.5625,8.38369623121051,18.75,7.70799921889153,29.7920007811085,"species","Salicaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Alnus incana",44,16,2041.40653203683,91,7,2,2,0.483516483516484,22.4330388135916,17.5824175824176,9.7610156217746,25.4038195430606,"species","Betulaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus palustris",669,96,5259.20687292473,557,11,5,4,1.20107719928187,9.44202311117546,17.2351885098743,14.0985869232134,20.3717900965353,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Carya ovata",162,54,4172.39859978033,329,41,11,3,0.492401215805471,12.6820626133141,16.4133738601824,12.4109281364795,20.4158195838853,"species","Juglandaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus macrocarpa",35,10,1119.52825789847,62,9,7,6,0.564516129032258,18.0569073854593,16.1290322580645,6.97378223778806,25.284282278341,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Aesculus flava",24,19,261.697804703785,120,19,8,3,0.2,2.18081503919821,15.8333333333333,9.30170161048161,22.3649650561851,"species","Sapindaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Platanus occidentalis",83,64,830.501690406992,406,19,14,6,0.204433497536946,2.04557066602707,15.7635467980296,12.2189237176454,19.3081698784137,"species","Platanaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Acer negundo",677,363,6204.70735440877,2421,99,35,13,0.279636513837257,2.56286962181279,14.9938042131351,13.5716722912446,16.4159361350255,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Magnolia fraseri",8,7,322.176106976789,49,10,7,3,0.163265306122449,6.57502259136303,14.2857142857143,4.48775531458157,24.083673256847,"species","Magnoliaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus alba",503,193,7991.37007698287,1412,140,47,11,0.356232294617564,5.65961053610685,13.6685552407932,11.8767758640014,15.460334617585,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer floridanum",30,15,10.4241777614214,113,19,7,3,0.265486725663717,0.092249360720543,13.2743362831858,7.01833147979349,19.5303410865782,"species","Sapindaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Picea glauca",12,10,73.250853691908,77,5,2,1,0.155844155844156,0.951309788206597,12.987012987013,5.47844037568037,20.4955855983456,"species","Pinaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus rubra",350,158,5754.56922441783,1221,115,45,14,0.286650286650287,4.71299690779511,12.9402129402129,11.0575275555556,14.8228983248703,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Tilia americana",160,60,1751.43672219952,479,58,26,11,0.334029227557411,3.65644409644993,12.5260960334029,9.5617053620847,15.4904867047211,"species","Malvaceae","L48(N)CAN(NI)","native","gray70",NA,NA,NA,NA,NA,NA
"Ostrya virginiana",183,101,3873.28375214825,809,83,16,5,0.226205191594561,4.78774258609178,12.4845488257108,10.2067749654748,14.7623226859467,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus velutina",2131,47,8505.55520866776,390,18,11,6,5.46410256410256,21.8091159196609,12.0512820512821,8.8201467078651,15.282417394699,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Halesia carolina",50,42,291.555267313859,369,24,12,5,0.13550135501355,0.790122675647315,11.3821138211382,8.14159130323247,14.622636339044,"species","Styracaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Liquidambar styraciflua",1398,521,6250.29859649336,4635,111,31,9,0.301618122977346,1.34850023656815,11.2405609492988,10.3312080224394,12.1499138761582,"species","Altingiaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus michauxii",8,8,57.1261202113936,74,11,3,3,0.108108108108108,0.771974597451265,10.8108108108108,3.73582695772463,17.885794663897,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Diospyros virginiana",274,226,2829.97021246654,2115,20,8,7,0.129550827423168,1.33804738178087,10.6855791962175,9.36895839463527,12.0021999977997,"species","Ebenaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Betula nigra",78,21,84.4070188473287,198,24,13,8,0.393939393939394,0.426298074986509,10.6060606060606,6.31707521950537,14.8950459926158,"species","Betulaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Corylus cornuta",18,16,91.8677694309257,158,21,5,5,0.113924050632911,0.581441578676745,10.126582278481,5.42250330229496,14.8306612546671,"species","Betulaceae","L48(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Viburnum prunifolium",24,13,279.127998775504,133,17,12,6,0.180451127819549,2.09870675771056,9.77443609022556,4.72734771819003,14.8215244622611,"species","Adoxaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Fraxinus nigra",14,12,257.236204233106,123,9,4,1,0.113821138211382,2.09135125392769,9.75609756097561,4.51224446527465,14.9999506566766,"species","Oleaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Kalmia latifolia",49,39,542.173892055528,404,97,21,6,0.121287128712871,1.34201458429586,9.65346534653465,6.77366248155606,12.5332682115133,"species","Ericaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Cornus sericea",31,23,431.23881240363,248,20,14,7,0.125,1.73886617904689,9.2741935483871,5.66397305474846,12.8844140420257,"species","Cornaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus montana",59,14,197.913078693937,152,13,9,4,0.388157894736842,1.30205972824958,9.21052631578947,4.61331729223616,13.8077353393428,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Liriodendron tulipifera",50,46,494.587205483515,503,37,23,9,0.099403578528827,0.983274762392674,9.14512922465209,6.62605415632071,11.6642042929835,"species","Magnoliaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Prunus serotina",257,172,2911.68237101352,1903,190,56,15,0.135049921177089,1.5300485396813,9.03836048344719,7.75007935115076,10.3266416157436,"species","Rosaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Populus balsamifera",10,8,440.842990945422,89,7,4,3,0.112359550561798,4.95329203309463,8.98876404494382,3.04640944094966,14.931118648938,"species","Salicaceae","L48(N)AK(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Populus tremuloides",23,16,887.782359157834,184,16,7,3,0.125,4.82490412585779,8.69565217391304,4.6242503296183,12.7670540182078,"species","Salicaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Fraxinus americana",168,82,5597.81662892136,962,104,23,9,0.174636174636175,5.81893620469996,8.52390852390852,6.75932700835961,10.2884900394574,"species","Oleaceae","L48(N)HI(I)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Acer pensylvanicum",31,24,168.644933128487,283,71,24,7,0.109540636042403,0.595918491620095,8.48056537102473,5.23468939929867,11.7264413427508,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Carya cordiformis",84,59,1244.4919810221,697,44,14,8,0.12051649928264,1.78549782069168,8.4648493543759,6.39831205010746,10.5313866586443,"species","Juglandaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Betula papyrifera",77,61,751.996847018748,727,26,12,7,0.105914718019257,1.03438355848521,8.39064649243466,6.37526861450669,10.4060243703626,"species","Betulaceae","L48(N)AK(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Betula populifolia",5,5,23.3775303184387,60,7,4,3,0.0833333333333333,0.389625505307311,8.33333333333333,1.33981781828232,15.3268488483843,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer saccharinum",61,13,2184.16070758355,160,20,12,8,0.38125,13.6510044223972,8.125,3.89143296453806,12.3585670354619,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Fagus grandifolia",713,490,5394.15136598778,6092,351,62,14,0.117038739330269,0.885448352919859,8.04333552199606,7.36039037761429,8.72628066637783,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus ilicifolia",12,11,27.1009200886412,137,13,2,1,0.0875912408759124,0.197816934953586,8.02919708029197,3.47872100071512,12.5796731598688,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer rubrum",401,300,8759.98937674191,3743,327,105,20,0.107133315522308,2.34036585005127,8.01496126102057,7.14508902531508,8.88483349672606,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Betula lenta",14,12,124.989004047705,152,31,10,3,0.0921052631578947,0.822296079261215,7.89473684210526,3.60781732315604,12.1816563610545,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer nigrum",7,5,576.380108799396,65,10,5,4,0.107692307692308,8.86738628922148,7.69230769230769,1.2142223702279,14.1703930143875,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Rhus typhina",5,5,42.4288000558896,65,11,6,4,0.0769230769230769,0.652750770090609,7.69230769230769,1.2142223702279,14.1703930143875,"species","Anacardiaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Juglans nigra",73,23,444.414926378456,306,21,16,9,0.238562091503268,1.45233636071391,7.51633986928105,4.56219990846165,10.4704798301004,"species","Juglandaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Castanea dentata",9,9,102.209196797776,120,22,7,5,0.075,0.851743306648132,7.5,2.78733090489052,12.2126690951095,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Sambucus racemosa",3,3,11.9721137213485,40,6,4,4,0.075,0.299302843033713,7.5,-0.662582311989265,15.6625823119893,"species","Adoxaceae","L48(N)AK(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Oxydendrum arboreum",60,54,781.58081130425,721,28,14,2,0.0832177531206657,1.08402331664944,7.48959778085992,5.56821908416913,9.41097647755071,"species","Ericaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Asimina triloba",36,35,189.417447987495,499,30,17,5,0.0721442885771543,0.379594084143277,7.01402805611222,4.77325297927764,9.25480313294681,"species","Annonaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Amelanchier arborea",9,7,44.5381311772578,100,17,10,8,0.09,0.445381311772578,7,1.99911847770816,12.0008815222918,"species","Rosaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Fraxinus pennsylvanica",19,16,200.337137493093,231,26,11,6,0.0822510822510823,0.867260335467935,6.92640692640693,3.65211556122202,10.2006982915918,"species","Oleaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Aesculus pavia",10,10,57.3512101649625,146,9,3,3,0.0684931506849315,0.392816507979195,6.84931506849315,2.7520294260684,10.9466007109179,"species","Sapindaceae","L48(N)CAN(I)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Viburnum acerifolium",10,8,45.9768549696072,118,13,10,5,0.0847457627118644,0.389634364149214,6.77966101694915,2.24364691068075,11.3156751232176,"species","Adoxaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Betula alleghaniensis",15,15,108.473064676037,224,28,12,7,0.0669642857142857,0.484254753018022,6.69642857142857,3.42300039423421,9.96985674862293,"species","Betulaceae","L48(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus coccinea",13,11,9.70133054187664,165,10,3,3,0.0787878787878788,0.0587959426780403,6.66666666666667,2.86050826864357,10.4728250646898,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Vaccinium corymbosum",19,16,198.337849804699,244,27,12,7,0.0778688524590164,0.812860040183191,6.55737704918033,3.451396392787,9.66335770557365,"species","Ericaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Carya glabra",20,20,172.049605219515,307,36,15,5,0.0651465798045603,0.56042216683881,6.51465798045603,3.75405181023432,9.27526415067774,"species","Juglandaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Rhododendron maximum",61,48,195.238123695443,742,198,17,4,0.0822102425876011,0.263124155923777,6.46900269541779,4.69909520452634,8.23891018630924,"species","Ericaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Pyrularia pubera",11,5,64.278964698423,78,16,5,2,0.141025641025641,0.824089291005424,6.41025641025641,0.974492329175971,11.8460204913369,"species","Santalaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus bicolor",29,25,300.234217576272,413,38,17,12,0.0702179176755448,0.726959364591457,6.05326876513317,3.75332688746968,8.35321064279666,"species","Fagaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Ulmus pumila",4,4,8.92640561475178,69,10,4,3,0.0579710144927536,0.129368197315243,5.79710144927536,0.283071644697112,11.3111312538536,"species","Ulmaceae","L48(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Quercus nigra",62,3,57.1900025103377,52,11,5,3,1.19230769230769,1.09980774058342,5.76923076923077,-0.568148856362871,12.1066103948244,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Ulmus americana",32,20,225.427088382776,349,31,17,11,0.0916905444126074,0.645922889348928,5.73065902578797,3.2921134451185,8.16920460645744,"species","Ulmaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Malus coronaria",16,8,433.947749138283,142,12,5,5,0.112676056338028,3.0559700643541,5.63380281690141,1.84134335318719,9.42626228061563,"species","Rosaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Lindera benzoin",68,36,889.933809264905,647,82,26,13,0.105100463678516,1.3754772940725,5.56414219474498,3.79781357495328,7.33047081453667,"species","Lauraceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Carpinus caroliniana",121,104,1897.03400455422,1896,158,42,13,0.0638185654008439,1.0005453610518,5.48523206751055,4.46032557527035,6.51013855975074,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Zanthoxylum",8,7,63.1785647499673,130,15,4,1,0.0615384615384615,0.485988959615133,5.38461538461539,1.50451806474669,9.26471270448408,"species","Rutaceae","L48(I,N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Nyssa sylvatica",84,57,1947.60579671535,1140,71,28,8,0.0736842105263158,1.7084261374696,5,3.73482544023891,6.26517455976109,"species","Nyssaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Acer saccharum",383,283,4376.69997379653,5661,324,59,14,0.0676558911853029,0.773131950856127,4.99911676382265,4.43141537623895,5.56681815140634,"species","Sapindaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Juniperus virginiana",3,3,92.033916853299,64,7,4,3,0.046875,1.4380299508328,4.6875,-0.491091513007542,9.86609151300754,"species","Cupressaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Morella cerifera",5,5,50.5266488235032,111,23,6,4,0.045045045045045,0.455195034445975,4.5045045045045,0.646084167740977,8.36292484126803,"species","Myricaceae","L48(N)HI(I)PR(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Ilex opaca",44,28,274.213331613926,640,45,24,8,0.06875,0.428458330646759,4.375,2.79032269895808,5.95967730104192,"species","Aquifoliaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Cornus florida",40,31,238.418776483637,719,41,24,10,0.0556328233657858,0.331597741980024,4.3115438108484,2.82684691058048,5.79624071111632,"species","Cornaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Ulmus rubra",15,12,161.361902118916,292,23,14,8,0.0513698630136986,0.552609253831906,4.10958904109589,1.83264984705639,6.38652823513539,"species","Ulmaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Ulmus alata",15,13,289.657319766123,324,13,6,3,0.0462962962962963,0.894004073352231,4.01234567901235,1.87541503630453,6.14927632172016,"species","Ulmaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Sorbus americana",5,5,0.814596519556682,127,7,3,3,0.0393700787401575,0.00641414582328096,3.93700787401575,0.554682314975195,7.3193334330563,"species","Rosaceae","L48(N)CAN(N)SPM(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Euonymus alatus",2,2,0.258823890192074,52,8,7,5,0.0384615384615385,0.00497738250369373,3.84615384615385,-1.38082877212235,9.07313646443004,"species","Celastraceae","L48(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Corylus americana",17,16,88.9121979896587,428,11,4,3,0.0397196261682243,0.20773878034967,3.73831775700935,1.94110696759709,5.5355285464216,"species","Betulaceae","L48(N)CAN(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Tilia cordata",3,3,2.1125794928574,83,7,4,2,0.036144578313253,0.0254527649741856,3.6144578313253,-0.401087690890359,7.63000335354096,"species","Malvaceae","L48(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Robinia pseudoacacia",2,2,2.82094437058844,56,13,6,4,0.0357142857142857,0.0503740066176507,3.57142857142857,-1.28912695237732,8.43198409523447,"species","Fabaceae","L48(N)CAN(I)","native","gray70",NA,NA,NA,NA,NA,NA
"Cercis canadensis",40,25,476.211954413378,730,59,37,14,0.0547945205479452,0.652345143032025,3.42465753424658,2.10537946221626,4.74393560627689,"species","Fabaceae","L48(N)CAN(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Pyrus calleryana",2,2,15.6182047589641,60,6,3,2,0.0333333333333333,0.260303412649402,3.33333333333333,-1.20878234273821,7.87544900940487,"species","Rosaceae","L48(I)","alien","firebrick2","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Viburnum nudum",13,11,35.9498319613553,337,11,4,2,0.0385756676557863,0.106676059232508,3.26409495548961,1.36688077241861,5.16130913856062,"species","Adoxaceae","L48(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Elaeagnus umbellata",3,3,3.70316087958275,98,16,9,5,0.0306122448979592,0.0377873559141097,3.06122448979592,-0.349443049150745,6.47189202874258,"species","Elaeagnaceae","L48(I)HI(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Rhamnus cathartica",3,3,594.379317451192,104,18,10,2,0.0288461538461538,5.715185744723,2.88461538461538,-0.332209181125599,6.10143995035637,"species","Rhamnaceae","L48(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Morus alba",18,16,246.467536521156,566,12,6,5,0.0318021201413428,0.435455011521476,2.82685512367491,1.46141468517554,4.19229556217429,"species","Moraceae","L48(I)HI(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Quercus phellos",10,3,41.2227847186896,108,26,14,5,0.0925925925925926,0.381692451098978,2.77777777777778,-0.321608565012471,5.87716412056803,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Quercus falcata",6,6,13.6482314211759,224,13,6,4,0.0267857142857143,0.0609296045588209,2.67857142857143,0.56416770056677,4.79297515657609,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Aesculus hippocastanum",2,2,21.5770952948322,77,6,3,2,0.025974025974026,0.280222016816002,2.5974025974026,-0.95535529684611,6.1501604916513,"species","Sapindaceae","L48(I)CAN(I)","alien","firebrick2","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Lonicera maackii",3,3,2.37297639801748,138,21,8,5,0.0217391304347826,0.0171954811450542,2.17391304347826,-0.259214938720685,4.60704102567721,"species","Caprifoliaceae","L48(I)CAN(I)","alien","firebrick2","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Crataegus phaenopyrum",1,1,14140.7549833112,54,5,2,2,0.0185185185185185,261.865833024281,1.85185185185185,-1.74401304735071,5.44771675105442,"species","Rosaceae","L48(N)CAN(I)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Prunus caroliniana",1,1,0.0774324583206101,54,11,3,2,0.0185185185185185,0.00143393441334463,1.85185185185185,-1.74401304735071,5.44771675105442,"species","Rosaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Ligustrum japonicum",2,2,12.6800960278639,120,9,5,4,0.0166666666666667,0.105667466898866,1.66666666666667,-0.623885587622597,3.95721892095593,"species","Oleaceae","L48(I)PR(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Acer platanoides",5,5,41.7668659467627,346,56,18,7,0.0144508670520231,0.120713485395268,1.44508670520231,0.187597936499596,2.70257547390503,"species","Sapindaceae","L48(I)CAN(I)","alien","firebrick2","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Ilex verticillata",1,1,1.41047218529422,86,6,6,6,0.0116279069767442,0.0164008393638863,1.16279069767442,-1.10298991993543,3.42857131528427,"species","Aquifoliaceae","L48(N)CAN(N)SPM(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Viburnum dentatum",1,1,0.181391431871464,104,14,7,3,0.00961538461538462,0.00174414838337946,0.961538461538462,-0.913994386431494,2.83707130950842,"species","Adoxaceae","L48(N)","native","gray70",NA,NA,NA,NA,NA,NA
"Quercus virginiana",1,1,9.06098247158031,118,10,4,2,0.00847457627118644,0.0767879870472908,0.847457627118644,-0.806506139645057,2.50142139388235,"species","Fagaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Acer palmatum",0,0,0,117,15,10,7,0,0,0,0,0,"species","Sapindaceae","L48(I)CAN(I)","alien","firebrick2","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Aesculus parviflora",0,0,0,72,5,3,3,0,0,0,0,0,"species","Sapindaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Carya tomentosa",0,0,0,71,10,5,3,0,0,0,0,0,"species","Juglandaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
"Cornus kousa",0,0,0,47,6,2,2,0,0,0,0,0,"species","Cornaceae","L48(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Elaeagnus angustifolia",0,0,0,41,7,4,4,0,0,0,0,0,"species","Elaeagnaceae","L48(I)CAN(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Lagerstroemia indica",0,0,0,46,6,5,3,0,0,0,0,0,"species","Lythraceae","L48(I)PR(I)","alien","firebrick2",NA,NA,NA,NA,NA,NA
"Malus angustifolia",0,0,0,53,11,3,2,0,0,0,0,0,"species","Rosaceae","L48(N)","native","gray70","#E69F00","#56B4E9","#009E73","#F0E442","#D55E00","salmon"
