X.x,Species,totalCount,numSurveysGTzero,totalBiomass,nSurveys,meanDensity,fracSurveys,meanBiomass,X.y,sciName,itis_id,rank,notes,Genus
231,Littleleaf linden,1,1,1.410472185,86,0.011627907,1.162790698,0.016400839,325,Tilia cordata,505507,species,,Tilia
232,Live oak,3,3,10.54888712,252,0.011904762,1.19047619,0.041860663,31,Quercus virginiana,19283,species,,Quercus
233,Loblolly pine,1,1,0.077432458,10,0.1,10,0.007743246,426,Pinus taeda,18037,species,,Pinus
234,Loebner magnolia,0,0,0,14,0,0,0,198,NA,NA,species,unsure,NA
235,Lonicera hispidula var. vacillans,0,0,0,11,0,0,0,270,Lonicera hispidula var. vacillans,528895,species,,Lonicera
236,Lonicera involucrata,5,4,66.43119228,10,0.5,40,6.643119228,418,Lonicera involucrata,35297,species,,Lonicera
237,Lonicera japonica,0,0,0,3,0,0,0,65,Lonicera japonica,35283,species,,Lonicera
238,Magnolia figo,0,0,0,13,0,0,0,334,Liriodendron chinese,NA,species,I think? Diff common name,Liriodendron
239,Magnolia spp.,0,0,0,64,0,0,0,NA,NA,NA,NA,NA,NA
240,Malus sargentii,0,0,0,39,0,0,0,47,Malus sieboldii,NA,species,not updated,Malus
241,Malus siberica,12,6,191.4861884,16,0.75,37.5,11.96788678,117,Malus baccata,NA,species,not updated,Malus
242,Maple,0,0,0,4,0,0,0,52,Acer,28727,species,,Acer
243,Maple leaf viburnum,2,1,0.046655087,10,0.2,10,0.004665509,NA,NA,NA,NA,NA,NA
244,Maple spp.,21,19,2120.892099,373,0.056300268,5.09383378,5.686037798,NA,NA,NA,NA,NA,NA
245,Mapleleaf viburnum,6,5,10.45435447,77,0.077922078,6.493506494,0.135770837,78,Viburnum acerifolium,35255,species,,Viburnum
246,Merrill magnolia,2,1,0.702107308,7,0.285714286,14.28571429,0.100301044,218,NA,NA,species,unsure: maybe the same cross species as loebrni,NA
247,Mockernut hickory,1,1,0.351053654,75,0.013333333,1.333333333,0.004680715,150,Carya tomentosa,19247,species,,Carya
248,Morella caroliniensis,0,0,0,32,0,0,0,156,Morella caroliniensis,507898,species,,Morella
249,Morella cerifera,56,11,1287.983044,229,0.244541485,4.80349345,5.624380106,208,Morella cerifera,507899,species,,Morella
250,Mountain holly,0,0,0,13,0,0,0,259,Ilex montana,28002,species,,Ilex
251,Mountain laurel,46,31,539.2652736,454,0.101321586,6.828193833,1.187808973,191,Kalmia latifolia,23677,species,,Kalmia
252,Mountain maple,2,1,3.409067386,6,0.333333333,16.66666667,0.568177898,397,Acer spicatum,28758,species,,Acer
253,Mountain or fraser magnolia,9,8,21.33007161,34,0.264705882,23.52941176,0.627355047,NA,NA,NA,NA,NA,NA
254,Mountain winterberry,41,35,326.811394,1030,0.039805825,3.398058252,0.317292616,277,Ilex montana,28002,species,,Ilex
255,Mulberry spp.,1,1,2.729739818,61,0.016393443,1.639344262,0.044749833,NA,NA,NA,NA,NA,NA
256,Multiflora rose,2,2,11.05957767,39,0.051282051,5.128205128,0.283578915,245,Rosa multiflora,24833,species,,Rosa
257,Myrica cerifera,2,2,50.14053842,63,0.031746032,3.174603175,0.795881562,113,Morella cerifera ,NA,species,not updated,Morella
258,Myrobalan plum,0,0,0,3,0,0,0,439,Prunus cerasifera,24772,species,,Prunus
259,N/A,494,250,5242.088077,2190,0.225570776,11.41552511,2.393647524,NA,NA,NA,NA,NA,NA
260,Na,0,0,0,10,0,0,0,422,NA,NA,species,,NA
261,Nandina domestica,0,0,0,18,0,0,0,350,Nandina domestica,18848,species,,Nandina
262,Nerium oleander,0,0,0,2,0,0,0,372,Nerium oleander,30184,species,,Nerium
263,Northern catalpa,0,0,0,7,0,0,0,292,NA,NA,species,check photos,NA
264,Northern red oak,253,97,6090.659101,647,0.391035549,14.99227202,9.413692583,69,Quercus rubra,19408,species,,Quercus
265,Northern spicebush,51,19,191.242154,493,0.103448276,3.853955375,0.38791512,240,Lindera benzoin,18147,species,,Lindera
266,Norway maple,6,6,5.256517077,210,0.028571429,2.857142857,0.025031034,32,Acer platanoides,28755,species,,Acer
267,Norway spruce,0,0,0,4,0,0,0,437,Picea abies,183289,species,,Picea
268,Nutmeg hickory,0,0,0,12,0,0,0,201,Carya myristiciformis,19239,species,,Carya
269,Oak spp.,124,66,1887.681016,411,0.301703163,16.05839416,4.59289785,NA,NA,NA,NA,NA,NA
270,Oakleaf hydrangea,0,0,0,29,0,0,0,319,Hydrangea quercifolia,24200,species,,Hydrangea
271,Ohio buckeye,12,3,42.97090272,47,0.255319149,6.382978723,0.914274526,247,Aesculus glabra,28718,species,,Aesculus
272,Olea spp.,0,0,0,15,0,0,0,NA,NA,NA,NA,NA,NA
273,Olive quihoui??,1,1,0.181391432,15,0.066666667,6.666666667,0.012092762,NA,NA,NA,NA,NA,NA
274,Oregon crab apple,0,0,0,4,0,0,0,311,Malus fusca,25258,species,,Malus
275,Oriental bittersweet,0,0,0,30,0,0,0,241,Celastrus orbiculatus,506068,species,,Celastrus
276,Osage orange,0,0,0,16,0,0,0,203,Maclura pomifera,19102,species,,Maclura
277,Osmanthus fragrans,1,1,2.729739818,36,0.027777778,2.777777778,0.075826106,332,Osmanthus fragrans,505977,species,,Osmanthus
278,Overcup oak,0,0,0,3,0,0,0,165,Quercus lyrata,19278,species,,Quercus
279,Ozark witch hazel,0,0,0,1,0,0,0,250,Hamamelis vernalis,NA,species,mispelled,Hamamelis
280,Pacific madrone,16,10,259.8416475,39,0.41025641,25.64102564,6.662606347,268,Arbutus menziesii,23627,species,,Arbutus
281,Paper birch,107,88,1039.200453,1009,0.10604559,8.721506442,1.029931073,3,Betula papyrifera,19489,species,,Betula
282,Pawpaw,89,20,520.3064649,386,0.230569948,5.18134715,1.34794421,132,Asimina,18108,species,,Asimina
283,Peach,0,0,0,17,0,0,0,344,Prunus persica,24765,species,,Prunus
284,Pear spp.,3,3,6.440057927,97,0.030927835,3.092783505,0.06639235,NA,NA,NA,NA,NA,NA
285,Pear tree,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA
286,Pecan,0,0,0,58,0,0,0,348,Carya illinoinensis,19234,species,,Carya
287,Persian ironwood,0,0,0,17,0,0,0,202,Parrotia persica,895220,species,,Parrotia
288,Persimmon spp.,2,2,274.9509385,45,0.044444444,4.444444444,6.110020855,NA,NA,NA,NA,NA,NA
289,Piedmont azalea,5,4,107.7231914,19,0.263157895,21.05263158,5.669641651,228,NA,NA,species,check photos,NA
290,Pignut hickory,13,10,436.2642247,200,0.065,5,2.181321124,76,Carya glabra,19231,species,,Carya
291,Pin cherry,0,0,0,17,0,0,0,15,Prunus pensylvanica,24799,species,,Prunus
292,Pin oak,758,105,5437.454823,631,1.201267829,16.64025357,8.617202572,140,Quercus palustris,19281,species,,Quercus
293,Plumleaf azalea,2,2,5.029585742,19,0.105263158,10.52631579,0.264715039,227,Rhododendron prunifolium,23728,species,,Rhododendron
294,Podocarpus,1,1,0.077432458,15,0.066666667,6.666666667,0.005162164,264,Podocarpus,183488,species,,Podocarpus
295,Possumhaw,0,0,0,9,0,0,0,200,NA,NA,species,check photos,NA
296,Post oak,0,0,0,7,0,0,0,432,Quercus stellata,19422,species,,Quercus
297,Privet,2,1,3767.233853,2,1,50,1883.616927,167,NA,NA,species,check photos,NA
298,Privet spp.,4,4,28.98869661,54,0.074074074,7.407407407,0.536827715,NA,NA,NA,NA,NA,NA
299,Prunus laurocerasus,1,1,0.077432458,7,0.142857143,14.28571429,0.01106178,413,Prunus laurocerasus,24786,species,,Prunus
300,Prunus maritima,1,1,0.023327544,49,0.020408163,2.040816327,4.76072e-4,155,Prunus maritima,24790,species,,Prunus
301,Prunus sargentii,0,0,0,3,0,0,0,442,Pseudophoenix sargentii ssp. Sargentii,524598,species,possibly known as Sargent's cherry palm,Pseudophoenix
302,Prunus serulata (japanese cherry blossom),0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA
303,Prunus spp. (apricot),0,0,0,8,0,0,0,402,Prunus,NA,species,,Prunus
304,Prunus spp. (cherry),2,2,0.25882389,6,0.333333333,33.33333333,0.043137315,403,Prunus,NA,species,,Prunus
305,Prunus spp.(plum),0,0,0,9,0,0,0,NA,NA,NA,NA,NA,NA
306,Prunus umbellata,0,0,0,2,0,0,0,447,Prunus umbellata,24805,species,,Prunus
307,Punica spp.,1,1,0.602103019,8,0.125,12.5,0.075262877,NA,NA,NA,NA,NA,NA
308,Pussy willow,0,0,0,6,0,0,0,409,Salix discolor,22524,species,,Salix
309,Quaking aspen,24,15,139.7346967,66,0.363636364,22.72727273,2.117192374,12,Populus tremuloides,195773,species,,Populus
310,Quercus hemispherica,0,0,0,2,0,0,0,446,Quercus hemisphaerica,195108,species,mispelled,Quercus
311,Quercus montana,2,2,111.3593251,12,0.166666667,16.66666667,9.279943756,234,Quercus montana,19379,species,,Quercus
312,Quercus nuttallii,0,0,0,1,0,0,0,450,Quercus texana,195188,species,not updated,Quercus
313,Quercus robur,0,0,0,5,0,0,0,353,Quercus robur,19405,species,,Quercus
314,Quihoui???,0,0,0,14,0,0,0,NA,NA,NA,NA,NA,NA
315,Red bay,0,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA
316,Red buckeye,3,1,63.67812492,26,0.115384615,3.846153846,2.449158651,180,Aesculus pavia,28723,species,,Aesculus
317,Red elderberry,0,0,0,3,0,0,0,346,Sambucus racemosa,35326,species,,Sambucus
318,Red maple,2585,2067,27232.80619,17263,0.149742223,11.97358512,1.577524543,54,Acer rubrum,28728,species,,Acer
319,Red mulberry,0,0,0,25,0,0,0,223,Morus rubra,19070,species,,Morus
320,Red oak,1405,1127,10094.51833,10988,0.127866764,10.25664361,0.918685687,131,NA,NA,species,check photos,NA
321,Red osier dogwood,7,5,39.05716297,18,0.388888889,27.77777778,2.169842387,NA,NA,NA,NA,NA,NA
322,Red osier dogwood (cornus sericea),0,0,0,54,0,0,0,NA,NA,NA,NA,NA,NA
323,Red-osier dogwood,4,4,12.13009771,40,0.1,10,0.303252443,NA,NA,NA,NA,NA,NA
324,Redbay,4,2,30.3336792,12,0.333333333,16.66666667,2.5278066,205,Persea borbonia,18149,species,,Persea
325,Redosier dogwood,10,9,36.58225985,66,0.151515152,13.63636364,0.554276664,90,Cornus sericea,501637,species,,Cornus
326,Reeves spiraea,0,0,0,8,0,0,0,391,Spiraea prunifolia,NA,species,bridalsreath spiraea is more common,Spiraea
327,Rhamnus cathartica,0,0,0,20,0,0,0,102,Rhamnus cathartica,28573,species,,Rhamnus
328,Rhododendron,11,10,167.4383793,894,0.012304251,1.118568233,0.187291252,20,Rhododendron,23700,species,,Rhododendron
329,Rhododendron austrinum,11,6,25.19308892,17,0.647058824,35.29411765,1.481946407,231,Rhododendron austrinum,23705,species,,Rhododendron
330,Rhododendron canescens,0,0,0,16,0,0,0,230,Rhododendron canescens,23712,species,,Rhododendron
331,Rhododendron sp,3,1,1.053160961,23,0.130434783,4.347826087,0.045789607,NA,NA,NA,NA,NA,NA
332,Rhododendron spp.,4,3,9.840522237,61,0.06557377,4.918032787,0.161320037,NA,NA,NA,NA,NA,NA
333,Rhus copallinum,0,0,0,6,0,0,0,326,Rhus copallinum,504754,species,,Rhus
334,Rhus glabra,1,1,21.22604164,47,0.021276596,2.127659574,0.451617907,38,Rhus glabra,28782,species,,Rhus
335,Rhus typhina,3,3,7.589280766,36,0.083333333,8.333333333,0.210813355,276,Rhus typhina,28777,species,,Rhus
336,River birch,38,21,776.8438355,318,0.119496855,6.603773585,2.442905143,211,Betula nigra,19480,species,,Betula
337,Rosa acicularis,4,4,8.963797851,10,0.4,40,0.896379785,416,Rosa acicularis,24812,species,,Rosa
338,Rose,0,0,0,9,0,0,0,317,Rosa,24807,species,,Rosa
339,Rose of sharon,0,0,0,25,0,0,0,217,Hibiscus syriacus,21638,species,,Hibiscus
340,Roughleaf dogwood,0,0,0,9,0,0,0,316,Cornus drummondii,27807,species,,Cornus
341,Rubus idaeus,2,1,22.17613516,10,0.2,10,2.217613516,417,Rubus idaeus,24947,species,,Rubus
342,Russian-olive,0,0,0,35,0,0,0,212,Elaeagnus angustifolia,27770,species,,Elaeagnus
343,Sassafras,72,33,1599.705579,351,0.205128205,9.401709402,4.557565752,119,Sassafras,18157,species,,Sassafras
344,Scarlet oak,26,19,119.8931757,169,0.153846154,11.24260355,0.709427075,42,Quercus coccinea,19288,species,,Quercus
345,Scrub oak,11,10,86.55239512,194,0.056701031,5.154639175,0.446146367,152,Quercus berberidifolia,507263,species,,Quercus
346,Serviceberry,555,464,4123.035291,4970,0.11167002,9.336016097,0.829584566,23,Amelanchier,25108,species,,Amelanchier
347,Serviceberry spp.,8,8,49.28817039,277,0.028880866,2.888086643,0.177935633,NA,NA,NA,NA,NA,NA
348,Shagbark hickory,99,21,60228.37454,91,1.087912088,23.07692308,661.8502696,340,Carya ovata,19242,species,,Carya
349,Shellbark hickory,0,0,0,26,0,0,0,320,NA,NA,species,check photos,NA
350,Shining willow,0,0,0,3,0,0,0,438,Salix lucida,22554,species,,Salix
351,Shumard oak,0,0,0,11,0,0,0,313,Quercus shumardii,NA,species,known as Shumard's oak,Quercus
352,Siberian elm,0,0,0,8,0,0,0,168,Ulmus pumila,19057,species,,Ulmus
353,Silky dogwood,0,0,0,10,0,0,0,314,Cornus amomum,27799,species,,Cornus
354,Silver maple,58,10,2166.015415,126,0.46031746,7.936507937,17.19059853,315,Acer saccharinum,28757,species,,Acer
355,Silver poplar,0,0,0,27,0,0,0,396,Populus alba,NA,species,also known as white poplar,Populus
356,Silverbell spp.,6,5,14.73967534,18,0.333333333,27.77777778,0.818870852,NA,NA,NA,NA,NA,NA
357,Slippery elm,14,12,142.9458429,245,0.057142857,4.897959184,0.58345242,139,Ulmus rubra,19050,species,,Ulmus
358,Sour cherry,2,2,11.79072229,20,0.1,10,0.58953611399999994,99,Prunus cerasus,24773,species,,Prunus
359,Sourwood,76,69,1199.0294040000001,906,0.08388521,7.61589404,1.323432013,51,Oxydendrum,23689,species,,Oxydendrum
360,Southern bayberry,0,0,0,6,0,0,0,327,Morella caroliniensis,507898,species,,Morella
361,Southern catalpa,0,0,0,34,0,0,0,162,Catalpa bignonioides,34313,species,,Catalpa
362,Southern crab apple,1,1,111.1779336,62,0.016129032,1.612903226,1.793192478,296,Malus angustifolia,25255,species,,Malus
363,Southern crabapple,0,0,0,30,0,0,0,341,Malus angustifolia,25255,species,,Malus
364,Southern magnolia,5,4,21.06422894,105,0.047619048,3.80952381,0.200611704,136,Magnolia grandiflora,18074,species,,Magnolia
365,Southern red oak,10,10,75.49088931,221,0.045248869,4.524886878,0.341587734,169,Quercus falcata,19277,species,,Quercus
366,Southern sugar maple,1,1,3473.420665,68,0.014705882,1.470588235,51.07971566,170,Acer saccharum var. saccharum,NA,species,not updated,Acer
367,Speckled alder,34,13,1769.815647,69,0.492753623,18.84057971,25.64950213,86,NA,NA,species,check photos,NA
368,Speckled japanese aralla,0,0,0,10,0,0,0,294,Fatsia japonica,NA,species,more commonly known as paperplant,Fatsia
369,Spicebush,98,92,3772.522627,2269,0.043190833,4.054649625,1.66263668,60,Lindera,18146,species,,Lindera
370,Staghorn sumac,1,1,3.619113556,36,0.027777778,2.777777778,0.100530932,444,Rhus typhina,28777,species,,Rhus
371,Stewartia rostrata,0,0,0,22,0,0,0,130,Stewartia,NA,species,not sure what else,Stewartia
372,Stiff dogwood,0,0,0,16,0,0,0,175,Cornus foemina,27802,species,,Cornus
373,Strawberry bush,0,0,0,8,0,0,0,393,Euonymus americanus,27947,species,,Euonymus
374,Stretchberry,0,0,0,9,0,0,0,382,Forestiera pubescens,32957,species,,Forestiera
375,Striped maple,1598,1197,16353.52616,10298,0.155175762,11.62361624,1.588029341,40,Acer pensylvanicum,28754,species,,Acer
376,Sugar maple,321,234,4083.381426,5521,0.058141641,4.238362615,0.739609025,9,Acer saccharum,28731,species,,Acer
377,Sugarberry,3,2,4.59929342,16,0.1875,12.5,0.287455839,338,Celtis laevigata,19042,species,,Celtis
378,Sumac spp.,2,2,0.783494451,41,0.048780488,4.87804878,0.019109621,NA,NA,NA,NA,NA,NA
379,Swamp chestnut oak,0,0,0,20,0,0,0,75,Quercus michauxii,19279,species,,Quercus
380,Swamp white oak,26,20,291.2763965,252,0.103174603,7.936507937,1.155858716,161,Quercus bicolor,19300,species,,Quercus
381,Sweet birch,5,4,22.3533815,45,0.111111111,8.888888889,0.496741811,185,Betula lenta,19487,species,,Betula
382,Sweet cherry,144,11,53.98691345,51,2.823529412,21.56862745,1.05856693,339,Prunus avium,24770,species,,Prunus
383,Sweet crab apple,62,14,1341.515926,245,0.253061224,5.714285714,5.47557521,273,Malus coronaria,25257,species,,Malus
384,Sweet gum,0,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA
385,Sweetbay,0,0,0,38,0,0,0,301,Magnolia virginiana,18070,species,,Magnolia
386,Sweetbay magnolia,0,0,0,5,0,0,0,401,Magnolia virginiana,18070,species,also known as sweetbay,Magnolia
387,Sweetgum,1512,458,5332.192235,4798,0.315131305,9.545644018,1.111336439,49,Liquidambar,19026,species,,Liquidambar
388,Symplocos tinctoria,5,4,113.0115259,154,0.032467532,2.597402597,0.733841077,103,Symplocos tinctoria,23878,species,,Symplocos
389,Symplocos tinctotria,1,1,15.5407723,16,0.0625,6.25,0.971298269,NA,NA,NA,NA,NA,NA
390,Syringa reticulata,0,0,0,1,0,0,0,356,Syringa reticulata,507196,species,,Syringa
391,Syringa vulgaris,0,0,0,4,0,0,0,434,Syringa vulgaris,32996,species,,Syringa
392,Tamarack,1,1,2.729739818,18,0.055555556,5.555555556,0.151652212,91,NA,NA,species,check photos,NA
393,Tanoak,8,7,36.59015246,57,0.140350877,12.28070175,0.641932499,267,Lithocarpus,19463,species,,Lithocarpus
394,Tatarian honeysuckle,1,1,0.181391432,38,0.026315789,2.631578947,0.004773459,106,Lonicera tatarica,35306,species,,Lonicera
395,Tilia cordata,0,0,0,10,0,0,0,127,Tilia cordata,505507,species,,Tilia
396,Tilia x europaea,0,0,0,13,0,0,0,128,Tilia X europaea,21538,species,,Tilia
397,Tree privet,0,0,0,9,0,0,0,390,Ligustrum lucidum,503450,species,,Ligustrum
398,Trembling aspen,2,2,9.412036125,52,0.038461538,3.846153846,0.181000695,NA,NA,NA,NA,NA,NA
399,Trident maple,0,0,0,8,0,0,0,188,Acer buergerianum,837859,species,,Acer
400,Tulip poplar,9,8,92.00506039,173,0.052023121,4.624277457,0.531821158,222,Liriodendron tulipifera,18086,species,,Liriodendron
401,Tuliptree,53,42,5896.374836,429,0.123543124,9.79020979,13.74446349,144,Liriodendron,18085,species,,Liriodendron
402,Tungoil tree,0,0,0,7,0,0,0,335,Vernicia fordii,505662,species,,Vernicia
403,Turkey oak,0,0,0,46,0,0,0,302,Quercus laevis,19367,species,,Quercus
404,Ulmus carpinifolia,0,0,0,6,0,0,0,424,Ulmus procera,19056,species,not updated,Ulmus
405,Ulmus sp.,1,1,2.729739818,10,0.1,10,0.272973982,NA,NA,NA,NA,NA,NA
406,Umbrella magnolia,1,1,0.950093518,11,0.090909091,9.090909091,0.086372138,72,Magnolia tripetala,18077,species,,Magnolia
407,Unknown,0,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA
408,Vaccinium caesariense,3,3,0.756967935,60,0.05,5,0.012616132,112,Vaccinium corymbosum ,NA,species,not updated,Vaccinium
409,Vaccinium corymbosum,0,0,0,18,0,0,0,151,Vaccinium corymbosum,23573,species,,Vaccinium
410,Vaccinium spp,3,3,52.87027823,14,0.214285714,21.42857143,3.776448445,NA,NA,NA,NA,NA,NA
411,Vaccinum corymbosum,0,0,0,10,0,0,0,NA,NA,NA,NA,NA,NA
412,Vibirnum dentatum,9,2,2.989820662,16,0.5625,12.5,0.186863791,36,Viburnum dentatum,NA,species,mispelled,Viburnum
413,Viburnum,12,3,25.73064576,16,0.75,18.75,1.60816536,163,Viburnum,35249,species,,Viburnum
414,Viburnum awabuki,0,0,0,7,0,0,0,406,NA,NA,species,not sure what else,NA
415,Viburnum cassinoide,1,1,0.351053654,15,0.066666667,6.666666667,0.023403577,41,Viburnum cassinoides,NA,species,mispelled,Viburnum
416,Viburnum dentatum,1,1,41.07955594,36,0.027777778,2.777777778,1.141098776,153,Viburnum dentatum,35251,species,,Viburnum
417,Viburnum dilatatum,0,0,0,22,0,0,0,129,Viburnum dilatatum,505677,species,,Viburnum
418,Viburnum lentago,0,0,0,14,0,0,0,116,Viburnum lentago,35266,species,,Viburnum
419,Viburnum nudum,25,23,117.655174,595,0.042016807,3.865546218,0.197739788,34,Viburnum nudum,35252,species,,Viburnum
420,Viburnum plicatum,0,0,0,10,0,0,0,225,Viburnum plicatum,35272,species,,Viburnum
421,Viburnum rhytidophyllum,0,0,0,21,0,0,0,395,Viburnum rhytidophyllum,505679,species,,Viburnum
422,Viburnum rufidulum,0,0,0,2,0,0,0,73,Viburnum rufidulum,35274,species,,Viburnum
423,Viburnum sp,2,2,0.428486112,32,0.0625,6.25,0.013390191,NA,NA,NA,NA,NA,NA
424,Viburnum spp.,4,3,696.6289066,94,0.042553191,3.191489362,7.410945815,NA,NA,NA,NA,NA,NA
425,Viburnum trilobum,8,5,0.615208811,29,0.275862069,17.24137931,0.021214097,33,Viburnum opulus var. americanum,NA,species,not updated,Viburnum
426,Virburnum,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA
427,Virginia sweetspire,0,0,0,12,0,0,0,283,Itea virginica,24202,species,,Itea
428,Wafer ash,1,1,21.22604164,10,0.1,10,2.122604164,312,Ptelea trifoliata,NA,species,known as hoptree,Ptelea
429,Walnut spp.,15,2,10.08007687,17,0.882352941,11.76470588,0.592945698,NA,NA,NA,NA,NA,NA
430,Washington hawthorn,4,4,14180.10299,88,0.045454545,4.545454545,161.137534,214,Crataegus phaenopyrum,24593,species,,Crataegus
431,Water oak,66,7,69.79345523,83,0.795180723,8.43373494,0.840885003,189,Quercus nigra,19280,species,,Quercus
432,Water tupelo,0,0,0,45,0,0,0,347,Nyssa aquatica,27824,species,,Nyssa
433,Wax myrtle,1,1,1.410472185,26,0.038461538,3.846153846,0.05424893,251,Morella cerifera,507899,species,,Morella
434,Weeping cherry,1,1,0.023327544,16,0.0625,6.25,0.001457971,21,Prunus subhirtella ,NA,species,also called winter-flowering cherry,Prunus
435,Weeping knoss dogwood,0,0,0,15,0,0,0,179,Cornus kousa,NA,species,not updated,Cornus
436,Weeping willow,33,13,273.2983747,57,0.578947368,22.80701754,4.794708329,286,Salix babylonica,837788,species,,Salix
437,White ash,84,37,2308.667357,629,0.13354531,5.882352941,3.670377355,84,Fraxinus americana,32931,species,,Fraxinus
438,White birch,0,0,0,9,0,0,0,93,NA,NA,species,check photos,NA
439,White cedar,1,1,7.38778269,19,0.052631579,5.263157895,0.388830668,110,Chamaecyparis,18045,species,,Chamaecyparis
440,White elm,2,2,70.63821299,18,0.111111111,11.11111111,3.924345166,87,Ulmus americana,NA,species,also known as American elm,Ulmus
441,White mulberry,16,14,240.285016,543,0.02946593,2.578268877,0.442513842,6,Morus alba,19066,species,,Morus
442,White oak,325,91,4862.356281,840,0.386904762,10.83333333,5.788519382,29,Quercus alba,19290,species,,Quercus
443,White spruce,8,7,80.09849667,56,0.142857143,12.5,1.4303302979999999,367,NA,NA,species,check photos,NA
444,White-cedar spp.,0,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA
445,Willow oak,9,8,41.90837441,138,0.065217391,5.797101449,0.303683873,74,Quercus phellos,19282,species,,Quercus
446,Willow spp.,50,28,303.9006585,157,0.318471338,17.8343949,1.935672984,NA,NA,NA,NA,NA,NA
447,Wineberry,0,0,0,29,0,0,0,238,Rubus phoenicolasius,25017,species,,Rubus
448,Winged elm,26,23,282.3250585,410,0.063414634,5.609756098,0.688597704,62,Ulmus alata,19051,species,,Ulmus
449,Winged eonymous,0,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA
450,Winged euonymus,1,1,0.181391432,7,0.142857143,14.28571429,0.025913062,412,Euonymus alatus,27946,species,,Euonymus
451,Winterberry,1,1,0.950093518,39,0.025641026,2.564102564,0.024361372,274,Euonymus bungeanus,894990,species,,Euonymus
452,Wisteria,0,0,0,12,0,0,0,255,Wisteria,27019,species,,Wisteria
453,Witch hazel,439,253,2847.908558,1428,0.307422969,17.71708683,1.994333724,173,Hamamelidaceae,19025,species,,Hamamelidaceae
454,Yaupon,1,1,0.351053654,7,0.142857143,14.28571429,0.050150522,323,Ilex vomitoria,27986,species,,Ilex
455,Yeddo euonymous,0,0,0,20,0,0,0,186,Euonymus hamiltonianus ssp. sieboldianus,NA,species,"mispelled, also known as Hamilton's spindletree",Euonymus
456,Yellow birch,356,304,3928.259199,3556,0.100112486,8.548931384,1.104684814,16,Betula alleghaniensis,19481,species,,Betula
457,Yellow buckeye,17,12,7.761096385,107,0.158878505,11.21495327,0.072533611,58,Aesculus flava,NA,species,not updated,Aesculus
458,Yellow-poplar,9,6,240.1522666,79,0.113924051,7.594936709,3.039902109,63,Liriodendron tulipifera,18086,species,,Liriodendron
459,Yew spp.,0,0,0,14,0,0,0,NA,NA,NA,NA,NA,NA
460,Zelkova serrata,0,0,0,3,0,0,0,355,Zelkova serrata,505790,species,,Zelkova
